tag_id,tag_name,tag_code,tag_category_l1,tag_category_l2,tag_subject_key,applicable_product,applicable_market_region,tag_value_type,tag_value_field_type,tag_value_desc,tag_status,business_definition,stat_period,update_frequency,data_latency,source_table,output_table,output_field,schedule_task_name,has_monitor,business_owner,data_owner,replacement_tag_code,offline_reason,offline_date,requirement_doc_url,current_version,online_date,latest_update_time,remark
TAG202605140001,昵称,user_nickname,用户基础标签,账号属性,uuid,Lovart,海外,string,STRING,昵称,已上线,昵称,截至统计分区,日,T+1,"dws_ad_uuid_user_profile_df_1d,ods_w_user_df",dws_ad_uuid_user_profile_df_1d,nickname,dws_ad_uuid_user_profile_df_1d,,,fengjun,,,,,v1.0,20260514,2026/5/14 15:38,
TAG202605140002,头像,user_avatar,用户基础标签,账号属性,uuid,Lovart,海外,string,STRING,头像,已上线,头像,截至统计分区,日,T+1,"dws_ad_uuid_user_profile_df_1d,ods_w_user_df",dws_ad_uuid_user_profile_df_1d,avatar,dws_ad_uuid_user_profile_df_1d,,,fengjun,,,,,v1.0,20260514,2026/5/14 15:38,
TAG202605140003,用户状态,user_status,用户基础标签,账号属性,uuid,Lovart,海外,string,STRING,用户状态,已上线,用户状态,截至统计分区,日,T+1,"dws_ad_uuid_user_profile_df_1d,ods_w_user_df",dws_ad_uuid_user_profile_df_1d,status,dws_ad_uuid_user_profile_df_1d,,,fengjun,,,,,v1.0,20260514,2026/5/14 15:38,
TAG202605140004,用户状态ID,user_status_id,用户基础标签,账号属性,uuid,Lovart,海外,number,BIGINT,用户状态ID,已上线,用户状态ID,截至统计分区,日,T+1,"ods_w_user_df,dws_ad_uuid_user_profile_df_1d",dws_ad_uuid_user_profile_df_1d,status_id,dws_ad_uuid_user_profile_df_1d,,,fengjun,,,,,v1.0,20260514,2026/5/14 15:38,
TAG202605140005,首次绑定CID,user_first_bind_cid,用户基础标签,渠道来源,uuid,Lovart,海外,string,STRING,首次绑定CID,已上线,首次绑定CID,首次,日,T+1,"dws_ad_user_activity_index_di_1d,dws_ad_uuid_user_profile_df_1d",dws_ad_uuid_user_profile_df_1d,first_bind_cid,dws_ad_uuid_user_profile_df_1d,,,fengjun,,,,,v1.0,20260514,2026/5/14 15:38,
TAG202605140006,首次访问日期,user_first_access_pt,用户行为标签,登录访问行为,uuid,Lovart,海外,string,STRING,首次访问日期,已上线,首次访问日期,首次,日,T+1,dws_ad_uuid_user_profile_df_1d,dws_ad_uuid_user_profile_df_1d,first_access_pt,dws_ad_uuid_user_profile_df_1d,,,fengjun,,,,,v1.0,20260514,2026/5/14 15:38,
TAG202605140007,最后一个访问日期使用的第一个CID,user_last_record_cid,用户基础标签,渠道来源,uuid,Lovart,海外,string,STRING,最后一个访问日期使用的第一个CID,已上线,最后一个访问日期使用的第一个CID,最近一次,日,T+1,"dws_ad_user_activity_index_di_1d,dws_ad_uuid_user_profile_df_1d",dws_ad_uuid_user_profile_df_1d,last_record_cid,dws_ad_uuid_user_profile_df_1d,,,fengjun,,,,,v1.0,20260514,2026/5/14 15:38,
TAG202605140008,最后访问日期,user_last_access_pt,用户行为标签,登录访问行为,uuid,Lovart,海外,string,STRING,最后访问日期,已上线,最后访问日期,最近一次,日,T+1,dws_ad_uuid_user_profile_df_1d,dws_ad_uuid_user_profile_df_1d,last_access_pt,dws_ad_uuid_user_profile_df_1d,,,fengjun,,,,,v1.0,20260514,2026/5/14 15:38,
TAG202605140009,访问日期列表,user_active_pt_list,用户行为标签,登录访问行为,uuid,Lovart,海外,array,ARRAY<STRING>,数组字段，详见字段注释：访问日期列表,已上线,访问日期列表,历史日期列表,日,T+1,dws_ad_uuid_user_profile_df_1d,dws_ad_uuid_user_profile_df_1d,active_pt_list,dws_ad_uuid_user_profile_df_1d,,,fengjun,,,,,v1.0,20260514,2026/5/14 15:38,
TAG202605140010,画布使用日期列表,user_canvas_pt_list,用户行为标签,创作行为,uuid,Lovart,海外,array,ARRAY<STRING>,数组字段，详见字段注释：画布使用日期列表,已上线,画布使用日期列表,历史日期列表,日,T+1,"dws_ad_uuid_user_profile_df_1d,dws_ad_user_activity_index_di_1d",dws_ad_uuid_user_profile_df_1d,canvas_pt_list,dws_ad_uuid_user_profile_df_1d,,,fengjun,,,,,v1.0,20260514,2026/5/14 15:38,
TAG202605140011,Agent使用日期列表,user_agent_pt_list,用户行为标签,创作行为,uuid,Lovart,海外,array,ARRAY<STRING>,数组字段，详见字段注释：Agent使用日期列表,已上线,Agent使用日期列表,历史日期列表,日,T+1,"dws_ad_uuid_user_profile_df_1d,dws_ad_user_activity_index_di_1d",dws_ad_uuid_user_profile_df_1d,agent_pt_list,dws_ad_uuid_user_profile_df_1d,,,fengjun,,,,,v1.0,20260514,2026/5/14 15:38,
TAG202605140012,生图日期列表,user_sd_pt_list,用户行为标签,创作行为,uuid,Lovart,海外,array,ARRAY<STRING>,数组字段，详见字段注释：生图日期列表,已上线,生图日期列表,历史日期列表,日,T+1,"dws_ad_user_activity_index_di_1d,dws_ad_uuid_user_profile_df_1d",dws_ad_uuid_user_profile_df_1d,sd_pt_list,dws_ad_uuid_user_profile_df_1d,,,fengjun,,,,,v1.0,20260514,2026/5/14 15:38,
TAG202605140013,复制日期列表,user_copy_pt_list,用户行为标签,创作行为,uuid,Lovart,海外,array,ARRAY<STRING>,数组字段，详见字段注释：复制日期列表,已上线,复制日期列表,历史日期列表,日,T+1,dws_ad_uuid_user_profile_df_1d,dws_ad_uuid_user_profile_df_1d,copy_pt_list,dws_ad_uuid_user_profile_df_1d,,,fengjun,,,,,v1.0,20260514,2026/5/14 15:38,
TAG202605140014,下载日期列表,user_download_pt_list,用户行为标签,导出发布行为,uuid,Lovart,海外,array,ARRAY<STRING>,数组字段，详见字段注释：下载日期列表,已上线,下载日期列表,历史日期列表,日,T+1,dws_ad_uuid_user_profile_df_1d,dws_ad_uuid_user_profile_df_1d,download_pt_list,dws_ad_uuid_user_profile_df_1d,,,fengjun,,,,,v1.0,20260514,2026/5/14 15:38,
TAG202605140015,收藏日期列表,user_collect_pt_list,用户行为标签,社区互动行为,uuid,Lovart,海外,array,ARRAY<STRING>,数组字段，详见字段注释：收藏日期列表,已上线,收藏日期列表,历史日期列表,日,T+1,dws_ad_uuid_user_profile_df_1d,dws_ad_uuid_user_profile_df_1d,collect_pt_list,dws_ad_uuid_user_profile_df_1d,,,fengjun,,,,,v1.0,20260514,2026/5/14 15:38,
TAG202605140016,分享日期列表,user_share_pt_list,用户行为标签,社区互动行为,uuid,Lovart,海外,array,ARRAY<STRING>,数组字段，详见字段注释：分享日期列表,已上线,分享日期列表,历史日期列表,日,T+1,dws_ad_uuid_user_profile_df_1d,dws_ad_uuid_user_profile_df_1d,share_pt_list,dws_ad_uuid_user_profile_df_1d,,,fengjun,,,,,v1.0,20260514,2026/5/14 15:38,
TAG202605140017,点赞日期列表,user_like_pt_list,用户行为标签,社区互动行为,uuid,Lovart,海外,array,ARRAY<STRING>,数组字段，详见字段注释：点赞日期列表,已上线,点赞日期列表,历史日期列表,日,T+1,dws_ad_uuid_user_profile_df_1d,dws_ad_uuid_user_profile_df_1d,like_pt_list,dws_ad_uuid_user_profile_df_1d,,,fengjun,,,,,v1.0,20260514,2026/5/14 15:38,
TAG202605140018,点踩日期列表,user_hate_pt_list,用户行为标签,社区互动行为,uuid,Lovart,海外,array,ARRAY<STRING>,数组字段，详见字段注释：点踩日期列表,已上线,点踩日期列表,历史日期列表,日,T+1,dws_ad_uuid_user_profile_df_1d,dws_ad_uuid_user_profile_df_1d,hate_pt_list,dws_ad_uuid_user_profile_df_1d,,,fengjun,,,,,v1.0,20260514,2026/5/14 15:38,
TAG202605140019,评论日期列表,user_comment_pt_list,用户行为标签,社区互动行为,uuid,Lovart,海外,array,ARRAY<STRING>,数组字段，详见字段注释：评论日期列表,已上线,评论日期列表,历史日期列表,日,T+1,dws_ad_uuid_user_profile_df_1d,dws_ad_uuid_user_profile_df_1d,comment_pt_list,dws_ad_uuid_user_profile_df_1d,,,fengjun,,,,,v1.0,20260514,2026/5/14 15:38,
TAG202605140020,是否VIP,user_is_vip,用户会员标签,会员身份,uuid,Lovart,海外,string,STRING,是否VIP,已上线,是否VIP,截至统计分区,日,T+1,dws_ad_uuid_member_profile_df,dws_ad_uuid_user_profile_df_1d,is_vip,dws_ad_uuid_user_profile_df_1d,,,fengjun,,,,,v1.0,20260514,2026/5/14 15:38,
TAG202605140021,VIP类型,user_vip_type,用户会员标签,会员身份,uuid,Lovart,海外,string,STRING,VIP类型,已上线,VIP类型,截至统计分区,日,T+1,dws_ad_uuid_member_profile_df,dws_ad_uuid_user_profile_df_1d,vip_type,dws_ad_uuid_user_profile_df_1d,,,fengjun,,,,,v1.0,20260514,2026/5/14 15:38,
TAG202605140022,付费日期列表,user_pay_pt_list,用户会员标签,付费行为,uuid,Lovart,海外,array,ARRAY<STRING>,数组字段，详见字段注释：付费日期列表,已上线,付费日期列表,历史日期列表,日,T+1,"dws_ad_user_activity_index_di_1d,dws_ad_uuid_user_profile_df_1d",dws_ad_uuid_user_profile_df_1d,pay_pt_list,dws_ad_uuid_user_profile_df_1d,,,fengjun,,,,,v1.0,20260514,2026/5/14 15:38,
TAG202605140023,会员付费日期列表,user_member_pay_pt_list,用户会员标签,付费行为,uuid,Lovart,海外,array,ARRAY<STRING>,数组字段，详见字段注释：会员付费日期列表。不含充值,已上线,会员付费日期列表。不含充值,历史日期列表,日,T+1,"dws_ad_uuid_user_profile_df_1d,dwd_c_order_detail_df",dws_ad_uuid_user_profile_df_1d,member_pay_pt_list,dws_ad_uuid_user_profile_df_1d,,,fengjun,,,,,v1.0,20260514,2026/5/14 15:38,
TAG202605140024,充值付费日期列表,user_recharge_pay_pt_list,用户会员标签,付费行为,uuid,Lovart,海外,array,ARRAY<STRING>,数组字段，详见字段注释：充值付费日期列表。不含购买会员商品,已上线,充值付费日期列表。不含购买会员商品,历史日期列表,日,T+1,"dwd_c_order_detail_df,dws_ad_uuid_user_profile_df_1d",dws_ad_uuid_user_profile_df_1d,recharge_pay_pt_list,dws_ad_uuid_user_profile_df_1d,,,fengjun,,,,,v1.0,20260514,2026/5/14 15:38,
TAG202605140025,会员剩余天数,user_member_left_days,用户会员标签,会员周期,uuid,Lovart,海外,number,BIGINT,会员剩余天数,已上线,会员剩余天数,截至统计分区,日,T+1,dws_ad_uuid_member_profile_df,dws_ad_uuid_user_profile_df_1d,member_left_days,dws_ad_uuid_user_profile_df_1d,,,fengjun,,,,,v1.0,20260514,2026/5/14 15:38,
TAG202605140026,用户事件map,user_event_map,用户行为标签,行为汇总,uuid,Lovart,海外,string,"MAP<STRING,BIGINT>",Map结构字段，详见字段注释：用户事件map,已上线,用户事件map,截至统计分区,日,T+1,dws_ad_user_activity_index_di_1d,dws_ad_uuid_user_profile_df_1d,event_map,dws_ad_uuid_user_profile_df_1d,,,fengjun,,,,,v1.0,20260514,2026/5/14 15:38,
TAG202605140027,用户事件总数,user_event_count,用户行为标签,行为汇总,uuid,Lovart,海外,number,BIGINT,用户事件总数,已上线,用户事件总数,截至统计分区,日,T+1,dws_ad_user_activity_index_di_1d,dws_ad_uuid_user_profile_df_1d,event_count,dws_ad_uuid_user_profile_df_1d,,,fengjun,,,,,v1.0,20260514,2026/5/14 15:38,
TAG202605140028,行为日期列表,user_behave_pt_list,用户行为标签,行为汇总,uuid,Lovart,海外,array,ARRAY<STRING>,数组字段，详见字段注释：行为日期列表,已上线,行为日期列表,历史日期列表,日,T+1,"dws_ad_uuid_user_profile_df_1d,dws_ad_user_activity_index_di_1d",dws_ad_uuid_user_profile_df_1d,behave_pt_list,dws_ad_uuid_user_profile_df_1d,,,fengjun,,,,,v1.0,20260514,2026/5/14 15:38,
